id,variety,breeder,gender,age,size,condition,photoUrl,certUrl,contestUrl,fatherId,motherId
KOI-STRESS-001,Kohaku,Dainichi Fish Farm,Jantan,Tosai,32,Sehat,https://dummy.com/koi1.jpg,https://dummy.com/cert1.jpg,,KOI-F-001,KOI-M-001
KOI-STRESS-002,Showa Sanshoku,Sakai Fish Farm,Betina,Nisai,45,Sangat Baik,https://dummy.com/koi2.jpg,,,KOI-F-002,KOI-M-002
KOI-STRESS-003,Taisho Sanke,Momotaro Koi,Jantan,Tosai,28,Sehat,https://dummy.com/koi3.jpg,,,,
KOI-STRESS-004,Shiro Utsuri,Omosako Farm,Betina,Nisai,50,Sehat,https://dummy.com/koi4.jpg,https://dummy.com/cert4.jpg,https://dummy.com/win4.jpg,,
KOI-STRESS-005,Tancho Kohaku,Dainichi Fish Farm,Jantan,Tosai,30,Sehat,https://dummy.com/koi5.jpg,,,,
KOI-STRESS-006,Asagi,Sakai Fish Farm,Betina,Sansai,55,Bagus,https://dummy.com/koi6.jpg,,,,
KOI-STRESS-007,Shusui,Momotaro Koi,Jantan,Tosai,33,Sehat,https://dummy.com/koi7.jpg,,,,
KOI-STRESS-008,Kohaku,Dainichi Fish Farm,Betina,Nisai,48,Sehat,https://dummy.com/koi8.jpg,,,,
KOI-STRESS-009,Goshiki,Sakai Fish Farm,Jantan,Tosai,29,Sehat,https://dummy.com/koi9.jpg,,,,
KOI-STRESS-010,Kujaku,Momotaro Koi,Betina,Nisai,42,Sehat,https://dummy.com/koi10.jpg,,,,
KOI-STRESS-011,Yamabuki Ogon,Izumiya,Jantan,Nisai,44,Sehat,https://dummy.com/koi11.jpg,,,,
KOI-STRESS-012,Kohaku,Dainichi Fish Farm,Betina,Tosai,31,Bagus,https://dummy.com/koi12.jpg,,,,
KOI-STRESS-013,Showa Sanshoku,Sakai Fish Farm,Jantan,Sansai,62,Sehat,https://dummy.com/koi13.jpg,,,,
KOI-STRESS-014,Shiro Utsuri,Omosako Farm,Betina,Tosai,25,Sehat,https://dummy.com/koi14.jpg,,,,
KOI-STRESS-015,Sanke,Momotaro Koi,Jantan,Nisai,40,Sehat,https://dummy.com/koi15.jpg,,,,
KOI-STRESS-016,Kohaku,Dainichi Fish Farm,Betina,Sansai,58,Sangat Baik,https://dummy.com/koi16.jpg,,,,
KOI-STRESS-017,Tancho,Sakai Fish Farm,Jantan,Tosai,34,Sehat,https://dummy.com/koi17.jpg,,,,
KOI-STRESS-018,Asagi,Momotaro Koi,Betina,Nisai,47,Sehat,https://dummy.com/koi18.jpg,,,,
KOI-STRESS-019,Goshiki,Sakai Fish Farm,Jantan,Sansai,52,Bagus,https://dummy.com/koi19.jpg,,,,
KOI-STRESS-020,Kujaku,Dainichi Fish Farm,Betina,Tosai,27,Sehat,https://dummy.com/koi20.jpg,,,,
KOI-STRESS-021,Kohaku,Sakai Fish Farm,Jantan,Tosai,30,Sehat,https://dummy.com/koi21.jpg,,,,
KOI-STRESS-022,Showa,Momotaro Koi,Betina,Nisai,46,Sangat Baik,https://dummy.com/koi22.jpg,,,,
KOI-STRESS-023,Sanke,Dainichi Fish Farm,Jantan,Tosai,33,Sehat,https://dummy.com/koi23.jpg,,,,
KOI-STRESS-024,Shiro Utsuri,Omosako Farm,Betina,Sansai,60,Sehat,https://dummy.com/koi24.jpg,,,,
KOI-STRESS-025,Tancho Sanke,Sakai Fish Farm,Jantan,Tosai,29,Bagus,https://dummy.com/koi25.jpg,,,,
KOI-STRESS-026,Asagi,Momotaro Koi,Betina,Nisai,43,Sehat,https://dummy.com/koi26.jpg,,,,
KOI-STRESS-027,Shusui,Dainichi Fish Farm,Jantan,Tosai,35,Sehat,https://dummy.com/koi27.jpg,,,,
KOI-STRESS-028,Kohaku,Sakai Fish Farm,Betina,Sansai,65,Sangat Baik,https://dummy.com/koi28.jpg,,,,
KOI-STRESS-029,Goshiki,Momotaro Koi,Jantan,Tosai,26,Sehat,https://dummy.com/koi29.jpg,,,,
KOI-STRESS-030,Kujaku,Dainichi Fish Farm,Betina,Nisai,41,Sehat,https://dummy.com/koi30.jpg,,,,
KOI-STRESS-031,Kohaku,Sakai Fish Farm,Jantan,Nisai,48,Sehat,https://dummy.com/koi31.jpg,,,,
KOI-STRESS-032,Showa,Dainichi Fish Farm,Betina,Tosai,32,Sehat,https://dummy.com/koi32.jpg,,,,
KOI-STRESS-033,Sanke,Momotaro Koi,Jantan,Sansai,59,Sangat Baik,https://dummy.com/koi33.jpg,,,,
KOI-STRESS-034,Shiro Utsuri,Omosako Farm,Betina,Nisai,45,Sehat,https://dummy.com/koi34.jpg,,,,
KOI-STRESS-035,Tancho,Sakai Fish Farm,Jantan,Tosai,30,Sehat,https://dummy.com/koi35.jpg,,,,
KOI-STRESS-036,Asagi,Dainichi Fish Farm,Betina,Nisai,49,Bagus,https://dummy.com/koi36.jpg,,,,
KOI-STRESS-037,Shusui,Momotaro Koi,Jantan,Tosai,34,Sehat,https://dummy.com/koi37.jpg,,,,
KOI-STRESS-038,Kohaku,Sakai Fish Farm,Betina,Sansai,63,Sehat,https://dummy.com/koi38.jpg,,,,
KOI-STRESS-039,Goshiki,Dainichi Fish Farm,Jantan,Tosai,28,Sehat,https://dummy.com/koi39.jpg,,,,
KOI-STRESS-040,Kujaku,Momotaro Koi,Betina,Nisai,42,Sangat Baik,https://dummy.com/koi40.jpg,,,,
KOI-STRESS-041,Kohaku,Dainichi Fish Farm,Jantan,Tosai,32,Sehat,https://dummy.com/koi41.jpg,,,,
KOI-STRESS-042,Showa,Sakai Fish Farm,Betina,Nisai,47,Sehat,https://dummy.com/koi42.jpg,,,,
KOI-STRESS-043,Sanke,Momotaro Koi,Jantan,Tosai,31,Bagus,https://dummy.com/koi43.jpg,,,,
KOI-STRESS-044,Shiro Utsuri,Omosako Farm,Betina,Sansai,61,Sehat,https://dummy.com/koi44.jpg,,,,
KOI-STRESS-045,Tancho,Dainichi Fish Farm,Jantan,Tosai,29,Sehat,https://dummy.com/koi45.jpg,,,,
KOI-STRESS-046,Asagi,Sakai Fish Farm,Betina,Nisai,44,Sehat,https://dummy.com/koi46.jpg,,,,
KOI-STRESS-047,Shusui,Momotaro Koi,Jantan,Tosai,33,Sangat Baik,https://dummy.com/koi47.jpg,,,,
KOI-STRESS-048,Kohaku,Dainichi Fish Farm,Betina,Sansai,57,Sehat,https://dummy.com/koi48.jpg,,,,
KOI-STRESS-049,Goshiki,Sakai Fish Farm,Jantan,Tosai,27,Sehat,https://dummy.com/koi49.jpg,,,,
KOI-STRESS-050,Kujaku,Momotaro Koi,Betina,Nisai,40,Bagus,https://dummy.com/koi50.jpg,,,,
KOI-STRESS-051,Kohaku,Dainichi Fish Farm,Jantan,Tosai,35,Sehat,https://dummy.com/koi51.jpg,,,,
KOI-STRESS-052,Showa,Sakai Fish Farm,Betina,Nisai,48,Sangat Baik,https://dummy.com/koi52.jpg,,,,
KOI-STRESS-053,Sanke,Momotaro Koi,Jantan,Tosai,29,Sehat,https://dummy.com/koi53.jpg,,,,
KOI-STRESS-054,Shiro Utsuri,Omosako Farm,Betina,Sansai,59,Sehat,https://dummy.com/koi54.jpg,,,,
KOI-STRESS-055,Tancho,Dainichi Fish Farm,Jantan,Tosai,31,Sehat,https://dummy.com/koi55.jpg,,,,
KOI-STRESS-056,Asagi,Sakai Fish Farm,Betina,Nisai,46,Bagus,https://dummy.com/koi56.jpg,,,,
KOI-STRESS-057,Shusui,Momotaro Koi,Jantan,Tosai,32,Sehat,https://dummy.com/koi57.jpg,,,,
KOI-STRESS-058,Kohaku,Dainichi Fish Farm,Betina,Sansai,64,Sangat Baik,https://dummy.com/koi58.jpg,,,,
KOI-STRESS-059,Goshiki,Sakai Fish Farm,Jantan,Tosai,28,Sehat,https://dummy.com/koi59.jpg,,,,
KOI-STRESS-060,Kujaku,Momotaro Koi,Betina,Nisai,43,Sehat,https://dummy.com/koi60.jpg,,,,
KOI-STRESS-061,Kohaku,Dainichi Fish Farm,Jantan,Tosai,33,Sehat,https://dummy.com/koi61.jpg,,,,
KOI-STRESS-062,Showa,Sakai Fish Farm,Betina,Nisai,49,Sehat,https://dummy.com/koi62.jpg,,,,
KOI-STRESS-063,Sanke,Momotaro Koi,Jantan,Sansai,61,Bagus,https://dummy.com/koi63.jpg,,,,
KOI-STRESS-064,Shiro Utsuri,Omosako Farm,Betina,Tosai,26,Sehat,https://dummy.com/koi64.jpg,,,,
KOI-STRESS-065,Tancho,Dainichi Fish Farm,Jantan,Tosai,30,Sangat Baik,https://dummy.com/koi65.jpg,,,,
KOI-STRESS-066,Asagi,Sakai Fish Farm,Betina,Nisai,45,Sehat,https://dummy.com/koi66.jpg,,,,
